titre,réalisateur(s),année_de_production,groupe_de_nationalité2,année_de_dernière_diffusion,nb._de_diffusions,dont_en_première_partie_de_soirée,nb._moyen_de_diffusions_par_an
DELPHINE 1-YVAN 0,FARRUGIA Dominique,1996,FRANCE,2024,75,5,2.8846153846153846
DOUZE TRAVAUX D ASTERIX (LES),GOSCINNY René,1975,FRANCE,2024,63,48,1.7027027027027026
ASTERIX ET CLEOPATRE,GOSCINNY René,1968,FRANCE,2024,62,47,1.5121951219512195
KIRIKOU ET LES BETES SAUVAGES,OCELOT Michel,2004,FRANCE,2021,61,23,3.588235294117647
DEUX HEURES MOINS LE QUART AVANT J.C.,YANNE Jean,1982,FRANCE,2024,60,35,1.5789473684210527
ASTERIX LE GAULOIS,GOSCINNY René,1967,FRANCE,2024,60,43,1.3953488372093024
ASTERIX ET LA SURPRISE DE CESAR,BRIZZI Gaëtan,1985,FRANCE,2024,59,54,2.269230769230769
ASTERIX CHEZ LES BRETONS,BRIZZI Gaëtan,1985,FRANCE,2024,58,52,2.230769230769231
TINTIN ET LE LAC AUX REQUINS,CHARLIER Jean-Michel,1972,BELGIQUE / FRANCE,2024,57,24,2.0357142857142856
SCOUT TOUJOURS,JUGNOT Gérard,1985,FRANCE,2024,57,38,1.5405405405405406
TINTIN ET LE TEMPLE DU SOLEIL,LEBLANC Raymond,1969,BELGIQUE / FRANCE,2024,56,20,2.0
GRAND RESTAURANT (LE),BESNARD Jacques,1966,FRANCE,2024,54,30,1.0384615384615385
ASTERIX ET LE COUP DU MENHIR,GRIMOND Philippe,1988,FRANCE,2024,54,48,2.076923076923077
BOUGE,CORNUAU Jérôme,1997,FRANCE,2024,54,10,2.25
VIE EST UN LONG FLEUVE TRANQUILLE (LA),CHATILIEZ Etienne,1987,FRANCE,2024,53,35,1.606060606060606
KIRIKOU ET LA SORCIERE,OCELOT Michel,1995,FRANCE / BELGIQUE,2021,53,27,2.3043478260869565
SOUS DOUES (LES),ZIDI Claude,1979,FRANCE,2024,52,34,1.2682926829268293
ASTERIX ET LES INDIENS,HAHN Gerhard,1994,ALLEMAGNE,2024,51,45,1.9615384615384615
SOUS DOUES EN VACANCES (LES),ZIDI Claude,1981,FRANCE,2024,50,34,1.3157894736842106
FLIC OU VOYOU,LAUTNER Georges,1979,FRANCE,2024,50,33,1.3157894736842106
BOUM (LA),PINOTEAU Claude,1980,FRANCE,2024,48,24,1.170731707317073
CERVEAU (LE),OURY Gérard,1968,FRANCE / ITALIE,2023,48,29,1.0434782608695652
ON L APPELLE TRINITA,CLUCHER E. B.,1971,ITALIE / FRANCE,2023,46,22,1.2432432432432432
GRAND BLEU (LE),BESSON Luc,1987,FRANCE,2023,46,37,1.393939393939394
BANZAI,ZIDI Claude,1982,FRANCE,2024,46,32,1.2105263157894737
PACHA (LE),LAUTNER Georges,1967,FRANCE,2024,46,30,0.8846153846153846
CARTOUCHE,DE BROCA Philippe,1961,FRANCE / Italie,2024,46,18,0.8846153846153846
OPERATION CORNED BEEF (L'),POIRE Jean-Marie,1990,FRANCE,2024,45,34,1.5
RETOUR DE LA MOMIE (LE),SOMMERS Stephen,2001,ETATS UNIS,2024,45,26,2.25
P R O F S,SCHULMANN Patrick,1985,FRANCE,2024,44,31,1.2222222222222223
HEROINES,KRAWCZYK Gérard,1996,FRANCE,2023,44,4,1.8333333333333333
11 COMMANDEMENTS (LES),DESAGNAT François,2003,FRANCE,2024,44,38,2.4444444444444446
TATIE DANIELLE,CHATILIEZ Etienne,1989,FRANCE,2024,43,31,1.34375
IL ETAIT UNE FOIS DANS L OUEST,LEONE Sergio,1969,ITALIE,2024,43,28,1.2285714285714286
NIKITA,BESSON Luc,1989,FRANCE,2021,43,31,1.3870967741935485
TRAVERSEE DE PARIS (LA),AUTANT-LARA Claude,1956,FRANCE / Italie,2019,43,21,0.7543859649122807
PEAU D ANE,DEMY Jacques,1970,FRANCE,2021,43,19,0.8775510204081632
RETOUR VERS LE FUTUR,ZEMECKIS Robert,1985,ETATS UNIS,2024,43,23,1.2647058823529411
ASTERIX ET LES VIKINGS,FJELDMARK Stephan,2004,FRANCE,2024,43,34,2.6875
BOUM 2 (LA),PINOTEAU Claude,1982,FRANCE,2024,42,21,1.105263157894737
FOUS DU STADE (LES),ZIDI Claude,1972,FRANCE,2017,42,26,0.9545454545454546
GLOIRE DE MON PERE (LA),ROBERT Yves,1989,FRANCE,2024,42,27,1.3548387096774193
COUP DE FOUDRE A NOTTING HILL,MICHELL Roger,1999,GRANDE BRETAGNE,2024,42,25,1.9090909090909092
CAPITAN (LE),HUNEBELLE André,1960,FRANCE / Italie,2020,41,12,0.7592592592592593
FANTOMAS SE DECHAINE,HUNEBELLE André,1965,FRANCE / ITALIE,2024,41,25,0.8541666666666666
RAMBO,KOTCHEFF Ted,1982,ETATS UNIS,2024,41,17,1.1388888888888888
QUATRE MARIAGES ET UN ENTERREMENT,NEWELL Mike,1994,GRANDE BRETAGNE,2024,41,27,1.5185185185185186
LIGUE DES GENTLEMEN EXTRAORDINAIRES (LA),NORRINGTON Stephen,2003,ETATS UNIS,2024,41,25,2.2777777777777777
JURASSIC PARK,SPIELBERG Steven,1992,ETATS UNIS,2024,41,22,1.5185185185185186
MAGNIFIQUE (LE),DE BROCA Philippe,1973,FRANCE,2024,40,20,0.8888888888888888
NUIT D IVRESSE,NAUER Bernard,1986,FRANCE,2024,40,27,1.1111111111111112
POUR CENT BRIQUES T AS PLUS RIEN,MOLINARO Edouard,1982,FRANCE,2023,40,26,1.0
HIBERNATUS,MOLINARO Edouard,1969,FRANCE / ITALIE,2024,40,22,0.851063829787234
ZIZANIE (LA),ZIDI Claude,1977,FRANCE,2023,40,25,0.9302325581395349
TULIPE NOIRE (LA),CHRISTIAN-JAQUE,1963,FRANCE / ESPAGNE,2023,40,11,0.7692307692307693
VILAINE,BENES Jean-Patrick,2007,France,2024,40,30,3.076923076923077
VERITE SI JE MENS (LA),GILOU Thomas,1996,FRANCE,2024,40,27,1.6666666666666667
