titre,réalisateur(s),année_de_production,groupe_de_nationalité2,année_de_dernière_diffusion,nb._de_diffusions,dont_en_première_partie_de_soirée,nb._moyen_de_diffusions_par_an
DELPHINE 1-YVAN 0,FARRUGIA Dominique,1996,FRANCE,2024,65,0,6.5
KIRIKOU ET LES BETES SAUVAGES,OCELOT Michel,2004,FRANCE,2021,45,18,4.5
TINTIN ET LE LAC AUX REQUINS,CHARLIER Jean-Michel,1972,BELGIQUE / FRANCE,2024,41,19,4.1
ASTERIX ET LA SURPRISE DE CESAR,BRIZZI Gaëtan,1985,FRANCE,2024,40,37,4.0
TINTIN ET LE TEMPLE DU SOLEIL,LEBLANC Raymond,1969,BELGIQUE / FRANCE,2024,40,16,4.0
ASTERIX CHEZ LES BRETONS,BRIZZI Gaëtan,1985,FRANCE,2024,39,36,3.9
KIRIKOU ET LA SORCIERE,OCELOT Michel,1995,FRANCE / BELGIQUE,2021,37,24,3.7
BOUGE,CORNUAU Jérôme,1997,FRANCE,2024,37,0,3.7
CROISIERE (LA),POUZADOUX Pascale,2010,FRANCE,2024,36,24,3.6
ASTERIX ET LE COUP DU MENHIR,GRIMOND Philippe,1988,FRANCE,2024,36,33,3.6
DOUZE TRAVAUX D ASTERIX (LES),GOSCINNY René,1975,FRANCE,2024,36,32,3.6
ASTERIX ET LES VIKINGS,FJELDMARK Stephan,2004,FRANCE,2024,35,27,3.5
REGRETS (LES),KAHN Cédric,2008,FRANCE,2024,34,0,3.7777777777777777
ASTERIX ET CLEOPATRE,GOSCINNY René,1968,FRANCE,2024,33,29,3.3
SCOUT TOUJOURS,JUGNOT Gérard,1985,FRANCE,2024,33,21,3.3
VILAINE,BENES Jean-Patrick,2007,France,2024,33,23,3.3
ASTERIX LE GAULOIS,GOSCINNY René,1967,FRANCE,2024,32,28,3.2
VIE EST UN LONG FLEUVE TRANQUILLE (LA),CHATILIEZ Etienne,1987,FRANCE,2024,31,20,3.1
VERITE SI JE MENS (LA),GILOU Thomas,1996,FRANCE,2024,31,19,3.1
HEROINES,KRAWCZYK Gérard,1996,FRANCE,2023,31,0,3.1
TATIE DANIELLE,CHATILIEZ Etienne,1989,FRANCE,2024,31,20,3.1
ON NE CHOISIT PAS SA FAMILLE,CLAVIER Christian,2011,FRANCE,2024,30,8,3.0
BANZAI,ZIDI Claude,1982,FRANCE,2024,30,20,3.0
FLIC OU VOYOU,LAUTNER Georges,1979,FRANCE,2024,30,19,3.0
OPERATION CORNED BEEF (L'),POIRE Jean-Marie,1990,FRANCE,2024,30,21,3.0
ASTERIX ET LES INDIENS,HAHN Gerhard,1994,ALLEMAGNE,2024,30,26,3.0
MUNE LE GARDIEN DE LA LUNE,PHILIPPON Benoît,2014,FRANCE,2024,29,8,4.142857142857143
TAIS-TOI,VEBER Francis,2002,FRANCE / ITALIE,2024,29,19,2.9
COUP DE FOUDRE A NOTTING HILL,MICHELL Roger,1999,GRANDE BRETAGNE,2024,29,15,2.9
TU PEUX GARDER UN SECRET,ARCADY Alexandre,2007,France,2024,29,7,2.9
COMME UN CHEF,COHEN Daniel,2011,FRANCE  / ESPAGNE,2024,28,16,2.8
DEUX HEURES MOINS LE QUART AVANT J.C.,YANNE Jean,1982,FRANCE,2024,28,15,2.8
CACTUS (LE),BITTON Gerard,2005,FRANCE,2024,28,2,2.8
DIKKENEK,VAN HOOFSTADT Olivier,2005,FRANCE / BELGIQUE,2024,28,18,2.8
ET SOUDAIN TOUT LE MONDE ME MANQUE,DEVOLDERE Jennifer,2010,FRANCE,2024,27,1,2.7
MINUSCULE LA VALLEE DES FOURMIS PERDUES,GIRAUD Hélène,2012,FRANCE / BELGIQUE,2024,27,13,3.375
SOUS DOUES (LES),ZIDI Claude,1979,FRANCE,2024,27,17,2.7
SOUS DOUES EN VACANCES (LES),ZIDI Claude,1981,FRANCE,2024,27,18,2.7
MUHAMMAD ALI THE GREATEST 1964 1974,KLEIN William,1974,FRANCE,2020,27,7,2.7
LIGUE DES GENTLEMEN EXTRAORDINAIRES (LA),NORRINGTON Stephen,2003,ETATS UNIS,2024,27,14,2.7
T4XI,KRAWCZYK Gérard,2006,France,2024,27,12,2.7
RETOUR DE LA MOMIE (LE),SOMMERS Stephen,2001,ETATS UNIS,2024,27,14,2.7
ARTHUR ET LA VENGEANCE DE MALTAZARD,BESSON Luc,2008,FRANCE,2024,26,16,2.6
LEGENDE (LA),HESSIQUE Florian,2017,FRANCE,2024,26,14,5.2
MARIAGE CHEZ LES BODIN S,LE ROCH Eric,2008,FRANCE,2024,26,13,2.6
CERVEAU (LE),OURY Gérard,1968,FRANCE / ITALIE,2023,26,16,2.6
PLACARD (LE),VEBER Francis,2000,FRANCE,2023,26,16,2.6
ARTHUR ET LES MINIMOYS,BESSON Luc,2004,FRANCE,2024,26,17,2.6
MEN IN BLACK,SONNENFELD Barry,1997,ETATS UNIS,2024,26,12,2.6
PALAIS ROYAL,LEMERCIER Valérie,2004,FRANCE / GRANDE BRETAGNE,2024,26,17,2.888888888888889
IRON MAN,FAVREAU John,2007,ETATS UNIS,2024,26,16,2.6
UNE JOURNEE EN ENFER,MacTIERNAN John,1994,ETATS UNIS,2024,26,14,2.6
UN PROF PAS COMME LES AUTRES,DAGTEKIN Bora,2013,Allemagne,2024,25,6,2.7777777777777777
PIEGE DE CRISTAL,MacTIERNAN John,1987,ETATS UNIS,2024,25,12,2.5
MONDE PERDU JURASSIC PARK (LE),SPIELBERG Steven,1997,ETATS UNIS,2024,25,12,2.5
REINE SOLEIL (LA),LECLERC Philippe,2005,FRANCE / HONGRIE,2024,25,8,2.5
JURASSIC PARK,SPIELBERG Steven,1992,ETATS UNIS,2024,25,11,2.5
CHAOS - TONY GIGLIO -,GIGLIO Tony,2004,GRANDE BRETAGNE,2024,25,16,2.5
TAKEN,MOREL Pierre,2007,France,2024,25,13,2.5
LARGO WINCH,SALLE Jerome,2008,FRANCE,2024,25,15,2.5
CONFIANCE REGNE (LA),CHATILIEZ Etienne,2003,FRANCE,2020,25,0,3.125
SHERLOCK HOLMES - GUY RITCHIE -,RITCHIE Guy,2008,GRANDE BRETAGNE,2024,24,13,2.4
FAST AND FURIOUS 6,LIN Justin,2012,ETATS UNIS,2024,24,12,2.4
GRAND RESTAURANT (LE),BESNARD Jacques,1966,FRANCE,2024,24,14,2.6666666666666665
JULIETTE ET JULIETTE,FORLANI Remo,1973,FRANCE / ITALIE,2020,24,0,2.4
SLUMDOG MILLIONAIRE,BOYLE Danny,2008,GRANDE BRETAGNE,2024,24,13,2.4
ROIS MAGES (LES),BOURDON Didier,2001,FRANCE,2024,24,19,2.4
ALIVE,BERTHE Frederic,2003,FRANCE / BELGIQUE,2024,24,0,3.0
TROIE,PETERSEN Wolfgang,2003,GRANDE BRETAGNE,2024,24,15,2.4
