unnamed:_0,4_ans_et_plus,femmes_responsables_des_achats_15-49_ans,foyer
1998,3:07:00,3:03:00,5:11:00
1999,3:09:00,3:09:00,5:14:00
2000,3:13:00,3:16:00,5:24:00
2001,3:17:00,3:24:00,5:28:00
2002,3:20:00,3:23:00,5:31:00
2003,3:22:00,3:19:00,5:31:00
2004,3:24:00,3:29:00,5:36:00
2005,3:26:00,3:36:00,5:39:00
2006,3:24:00,3:39:00,5:37:00
2007,3:27:00,3:40:00,5:39:00
2008,3:24:00,3:32:00,5:36:00
2009,3:25:00,3:34:00,5:37:00
2010,3:32:00,3:42:00,5:47:00
2011¹,3:47:00,3:56:00,-
2012,3:50:00,3:58:00,-
2013,3:46:00,3:49:00,-
2014²,3:41:00,3:37:00,-
2015,3:44:00,3:38:00,-
2016³,3:43:00,3:39:00,-
2017,3:42:00,3:35:00,-
20184,3:46:00,3:22:00,-
2019,3:40:00,3:08:00,-
2020,3:58:00,3:29:00,-
2021,3h41',3h02',
2022,3h26',2h37',-
20245,nd,nd,-
