unnamed:_,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,20051,2006,2007,2008,2009,2010,2011,20122,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
France Télévisions,379,386,378,378,378,396,390,391,408,412,374,374,359,375,419,481,528,599,632,669,615,623,606,687.0,690.0,670.0,652.0,614.0,586.0,570.0,599.0,381.0,306.0,294.0,315.0
France,186,194,187,188,185,190,180,197,201,197,154,163,143,158,164,158,153,164,144,181,171,161,141,151.0,153.0,130.0,99.0,95.0,104.0,122.0,198.0,135.0,98.0,116.0,91.0
France,193,192,191,190,193,206,210,194,207,215,201,203,206,209,244,238,230,243,244,243,241,231,224,198.0,181.0,189.0,178.0,148.0,132.0,107.0,158.0,156.0,138.0,115.0,121.0
France,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,84,141,192,237,234,192,215,237,230.0,244.0,243.0,241.0,244.0,216.0,191.0,144.0,38.0,35.0,25.0,65.0
France,-,-,-,-,0,0,0,0,0,0,19,8,10,8,11,1,4,0,7,11,11,16,4,4.0,8.0,4.0,31.0,24.0,31.0,71.0,66.0,52.0,35.0,38.0,38.0
France Ô,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,nd,nd,nd,nd,nd,nd,nd,,104.0,104.0,104.0,103.0,103.0,103.0,79.0,33.0,,,,
Groupe TF,170,170,170,170,170,170,170,190,190,192,192,190,191,191,189,424,531,579,565,586,550,550,558,791.0,761.0,748.0,803.0,762.0,750.0,736.0,782.0,921.0,922.0,890.0,930.0
TF,170,170,170,170,170,170,170,190,190,192,192,190,191,191,189,191,183,190,175,188,145,138,134,148.0,152.0,160.0,191.0,187.0,183.0,191.0,236.0,211.0,186.0,192.0,229.0
TMC,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,146,197,197,202,206,206,210,206,201.0,199.0,203.0,205.0,199.0,183.0,177.0,205.0,254.0,251.0,243.0,232.0
TFX,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,87,151,192,188,192,199,202,201,204.0,194.0,192.0,196.0,186.0,192.0,187.0,166.0,214.0,242.0,230.0,230.0
TF Séries Films,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,17,238.0,216.0,193.0,211.0,190.0,192.0,181.0,175.0,242.0,243.0,225.0,239.0
Groupe M,192,192,191,192,192,189,189,190,190,185,175,161,159,170,165,207,245,262,274,302,431,435,495,721.0,704.0,706.0,618.0,671.0,634.0,673.0,805.0,866.0,826.0,867.0,875.0
M,192,192,191,192,192,189,189,190,190,185,175,161,159,170,165,173,141,148,137,125,137,103,103,106.0,133.0,131.0,103.0,116.0,108.0,100.0,148.0,145.0,124.0,159.0,148.0
W,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,34,104,104,104,104,191,192,191,191.0,191.0,191.0,188.0,187.0,191.0,192.0,222.0,236.0,243.0,242.0,239.0
ter,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,15,191.0,184.0,189.0,169.0,192.0,191.0,191.0,238.0,241.0,236.0,244.0,237.0
Gulli,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,10,33,73,103,140,186,233.0,196.0,195.0,158.0,176.0,144.0,190.0,197.0,244.0,223.0,222.0,251.0
Groupe Canal+,-,2083,2038,2078,2053,2071,2065,2133,2264,2214,2283,2277,2269,2255,2125,2424,2253,2299,2273,2248,2161,2223,2212,2254.0,2204.0,2193.0,2128.0,2129.0,2169.0,2094.0,2215.0,2218.0,2391.0,2501.0,2384.0
Canal+,nd,2083,2038,2078,2053,2071,2065,2133,2264,2214,2283,2277,2269,2255,2125,2292,2079,2084,1945,1902,1824,1840,1916,1930.0,1875.0,1869.0,1824.0,1825.0,1866.0,1783.0,1911.0,1860.0,2065.0,2179.0,2089.0
C,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,132,174,213,226,242,225,213,208,221.0,225.0,222.0,200.0,200.0,199.0,192.0,194.0,244.0,234.0,201.0,180.0
CStar,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,2,102,104,112,170,88,103.0,104.0,102.0,104.0,104.0,104.0,119.0,110.0,114.0,92.0,121.0,115.0
NRJ Group,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,0,103,251,244,229,203,224,235.0,230.0,420.0,421.0,410.0,367.0,360.0,324.0,348.0,254.0,235.0,232.0
NRJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,0,103,251,244,229,203,219,164.0,150.0,203.0,197.0,200.0,162.0,154.0,124.0,143.0,111.0,102.0,100.0
Chérie,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5,71.0,80.0,217.0,224.0,210.0,205.0,206.0,200.0,205.0,143.0,133.0,132.0
Altice Media,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,180.0,222.0,234.0,130.0,133.0,126.0,76.0,2.0,0.0,0.0,0.0,0.0
RMC Découverte,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,1.0,1.0,1.0,1.0,,,,,,,,
RMC Story,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,179.0,221.0,233.0,129.0,133.0,126.0,76.0,2.0,,,,
autres chaînes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arte,-,1,44,179,244,311,399,381,398,407,411,473,483,476,436,532,587,662,911,821,839,800,741,801.0,876.0,832.0,861.0,812.0,822.0,756.0,785.0,752.0,709.0,677.0,710.0
LCP-AN,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4,7,1,32,35,42,45,43,65.0,55.0,46.0,38.0,38.0,36.0,,18.0,31.0,12.0,4.0,1.0
La Chaîne L'Equipe,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,10.0,31.0,24.0,13.0,5.0,2.0,10.0,46.0,54.0,47.0,34.0,74.0
total,741,2832,2821,2997,3037,3137,3213,3285,3450,3410,3435,3475,3461,3467,3334,4075,4151,4505,4938,4905,4867,4879,4879,5744.0,5773.0,5873.0,5664.0,5574.0,5492.0,5275.0,5576.0,5571.0,5467.0,5502.0,5521.0
sous-total chaînes nationales publiques,379,387,422,557,622,707,789,772,806,819,785,847,842,851,855,1017,1122,1262,1575,1525,1496,1468,1390,1553.0,1621.0,1548.0,1551.0,1464.0,1444.0,1326.0,1402.0,1164.0,1027.0,975.0,1026.0
sous-total chaînes nationales privées gratuites,362,362,361,362,362,359,359,380,380,377,367,351,350,361,354,766,950,1159,1418,1478,1547,1571,1573,2261.0,2277.0,2456.0,2289.0,2285.0,2182.0,2166.0,2263.0,2547.0,2375.0,2348.0,2406.0
sous-total chaînes nationales payantes,nd,2083,2038,2078,2053,2071,2065,2133,2264,2214,2283,2277,2269,2255,2125,2292,2079,2084,1945,1902,1824,1840,1916,1930.0,1875.0,1869.0,1824.0,1825.0,1866.0,1783.0,1911.0,1860.0,2065.0,2179.0,2089.0
