,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,20051,2006,2007,2008,2009,2010,2011,20122.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0,2023.0,2024.0
France Télévisions,nd,74,88,79,78,77,73,78,73,68,62,64,63,59,57,67,77,94,93,104,96,92,96.0,125.0,124.0,110.0,112.0,94.0,102.0,96.0,73.0,45.0,37.0,41.0,28.0
France,nd,39,43,38,37,35,28,37,33,32,30,32,29,30,31,27,26,23,17,20,20,13,15.0,20.0,17.0,16.0,12.0,12.0,11.0,17.0,10.0,15.0,7.0,13.0,4.0
France,nd,35,45,41,41,42,45,41,40,36,32,32,34,29,26,30,23,22,22,23,26,19,21.0,24.0,24.0,26.0,17.0,14.0,15.0,18.0,15.0,19.0,14.0,15.0,7.0
France,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,10,28,49,54,61,50,60,60.0,53.0,55.0,52.0,52.0,46.0,54.0,39.0,26.0,3.0,5.0,2.0,7.0
France,-,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,1.0,,8.0,5.0,10.0,10.0,11.0,8.0,11.0,11.0,10.0
France Ô,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,nd,nd,nd,nd,nd,nd,nd,,28.0,27.0,16.0,23.0,17.0,12.0,12.0,11.0,,,,
Groupe TF,nd,21,33,33,40,42,40,42,41,41,41,40,38,34,31,86,147,151,149,149,153,156,158.0,199.0,176.0,181.0,199.0,202.0,191.0,182.0,171.0,195.0,215.0,208.0,195.0
TF,nd,21,33,33,40,42,40,42,41,41,41,40,38,34,31,31,23,24,24,25,22,22,25.0,24.0,22.0,25.0,26.0,30.0,28.0,28.0,41.0,32.0,30.0,27.0,28.0
TMC,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,25,54,68,71,68,73,65,62.0,59.0,48.0,56.0,61.0,64.0,55.0,45.0,51.0,55.0,64.0,63.0,55.0
TFX,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,30,70,59,54,56,58,69,65.0,64.0,60.0,56.0,56.0,51.0,53.0,55.0,34.0,54.0,63.0,61.0,54.0
TF Séries Films,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6.0,52.0,46.0,44.0,56.0,57.0,55.0,54.0,45.0,54.0,58.0,57.0,58.0
Groupe M,nd,44,52,45,44,44,43,43,45,37,28,31,27,29,25,35,66,61,75,81,101,108,124.0,181.0,180.0,169.0,170.0,160.0,154.0,160.0,177.0,173.0,180.0,194.0,202.0
M,nd,44,52,45,44,44,43,43,45,37,28,31,27,29,25,27,26,20,27,22,20,16,17.0,16.0,24.0,18.0,16.0,15.0,18.0,14.0,21.0,21.0,20.0,24.0,26.0
W,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8,40,40,41,41,55,56,57.0,59.0,61.0,60.0,57.0,53.0,57.0,59.0,59.0,58.0,61.0,65.0,61.0
ter,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4.0,56.0,57.0,62.0,68.0,62.0,57.0,58.0,62.0,59.0,58.0,63.0,68.0
Gulli,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,1,7,18,26,36,46.0,50.0,38.0,29.0,29.0,30.0,22.0,29.0,35.0,35.0,41.0,42.0,47.0
Groupe Canal+,nd,60,77,71,64,66,66,57,99,112,108,111,105,101,103,119,133,165,221,216,223,246,175.0,194.0,188.0,198.0,191.0,188.0,160.0,164.0,194.0,167.0,135.0,136.0,105.0
Canal+,nd,60,77,71,64,66,66,57,99,112,108,111,105,101,103,112,107,140,133,119,111,124,105.0,113.0,106.0,118.0,113.0,110.0,85.0,92.0,125.0,89.0,70.0,73.0,55.0
C,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,7,26,25,39,68,76,59,45.0,58.0,61.0,59.0,58.0,58.0,54.0,47.0,45.0,58.0,50.0,41.0,34.0
