,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,20051,2006,2007,2008,2009,2010,2011,20122,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0,2023.0,2024.0
France Télévisions,nd,28,29,16,36,27,24,28,18,27,27,19,21,25,16,25,31,33,22,25,22,20,15,21.0,28.0,15.0,15.0,22.0,8.0,12.0,13.0,12.0,8.0,7.0,7.0
France,nd,22,18,10,18,15,9,16,8,16,14,9,12,11,12,11,9,5,8,9,13,6,10,9.0,8.0,5.0,6.0,5.0,4.0,9.0,4.0,9.0,5.0,5.0,2.0
France,nd,6,11,6,18,12,15,12,10,11,13,10,9,14,4,8,5,5,1,2,5,6,3,3.0,,3.0,3.0,5.0,3.0,,6.0,3.0,,1.0,
France,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6,17,23,13,14,4,8,2,8.0,11.0,6.0,2.0,10.0,,3.0,1.0,,2.0,,4.0
France,-,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,1.0,,2.0,,,,,,1.0,1.0,1.0
France Ô,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,nd,nd,nd,nd,nd,nd,nd,nd,1.0,8.0,1.0,2.0,2.0,1.0,,2.0,,,,
Groupe TF,nd,5,10,17,17,14,20,16,18,13,20,17,17,13,15,22,35,22,18,21,21,21,30,33.0,24.0,30.0,26.0,31.0,26.0,29.0,21.0,26.0,20.0,17.0,15.0
TF,nd,5,10,17,17,14,20,16,18,13,20,17,17,13,15,12,7,11,10,13,10,14,11,13.0,11.0,15.0,15.0,17.0,13.0,15.0,12.0,14.0,13.0,10.0,14.0
TMC,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,7,3,7,5,7,1,2,4.0,2.0,2.0,1.0,5.0,5.0,3.0,3.0,1.0,1.0,2.0,1.0
TFX,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,9,21,8,1,3,4,6,13,7.0,9.0,11.0,3.0,2.0,6.0,6.0,3.0,5.0,3.0,2.0,
TF Séries Films,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4,9.0,2.0,2.0,7.0,7.0,2.0,5.0,3.0,6.0,3.0,3.0,
Groupe M,nd,11,25,13,19,14,18,12,15,12,5,8,9,6,11,10,9,12,7,10,14,11,17,19.0,20.0,20.0,21.0,15.0,21.0,23.0,15.0,10.0,9.0,16.0,11.0
M,nd,11,25,13,19,14,18,12,15,12,5,8,9,6,11,10,8,6,5,7,5,5,9,10.0,6.0,8.0,10.0,5.0,9.0,8.0,3.0,5.0,6.0,11.0,5.0
W,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,1,6,1,0,3,2,,3.0,3.0,5.0,3.0,2.0,6.0,3.0,1.0,2.0,,1.0,2.0
ter,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,4.0,5.0,1.0,2.0,5.0,3.0,6.0,6.0,1.0,3.0,,2.0
Gulli,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,1,3,6,4,8,2.0,6.0,6.0,6.0,3.0,3.0,6.0,5.0,2.0,,4.0,2.0
Groupe Canal+,nd,59,74,69,63,64,65,48,94,106,105,105,104,93,91,96,109,134,138,120,104,119,99,116.0,110.0,121.0,122.0,111.0,91.0,100.0,133.0,93.0,71.0,73.0,56.0
Canal+,nd,59,74,69,63,64,65,48,94,106,105,105,104,93,91,96,104,128,122,111,98,113,95,108.0,101.0,113.0,110.0,105.0,84.0,92.0,124.0,88.0,66.0,68.0,51.0
C,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,5,6,0,0,0,1,1,8.0,7.0,7.0,10.0,6.0,5.0,7.0,6.0,3.0,2.0,4.0,5.0
CStar,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,16,9,6,5,3,,2.0,1.0,2.0,,2.0,1.0,3.0,2.0,3.0,1.0,
NRJ Group,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,0,18,16,13,8,3,3,4.0,7.0,5.0,6.0,10.0,6.0,4.0,0.0,5.0,7.0,0.0,0.0
NRJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,0,18,16,13,8,3,3,4.0,3.0,3.0,4.0,7.0,3.0,3.0,,1.0,4.0,,
Chérie,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,4.0,2.0,2.0,3.0,3.0,1.0,,4.0,3.0,,
Altice Media,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,13.0,7.0,19.0,1.0,2.0,7.0,3.0,1.0,0.0,0.0,0.0,0.0
RMC Découverte,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,1.0,,,,,,,,,,,
RMC Story,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,12.0,7.0,19.0,1.0,2.0,7.0,3.0,1.0,,,,
autres chaînes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arte,-,0,3,5,7,13,11,9,9,12,13,8,12,14,6,7,8,8,12,9,6,13,11,16.0,9.0,10.0,10.0,5.0,3.0,4.0,10.0,11.0,3.0,,4.0
LCP-AN,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,2,0,0,0,0,0,,,,,4.0,,3.0,,,,,,
La Chaîne L'Equipe,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,1.0,4.0,1.0,,,,,,,1.0,,
total,nd,103,141,120,142,132,138,113,154,170,170,157,163,151,139,163,194,227,213,198,175,187,175,223.0,209.0,221.0,205.0,196.0,165.0,175.0,193.0,157.0,119.0,113.0,93.0
sous-total chaînes nationales publiques,nd,28,32,21,43,40,35,37,27,39,40,27,33,39,22,32,41,41,34,34,28,33,26,37.0,37.0,25.0,29.0,27.0,14.0,16.0,23.0,23.0,11.0,7.0,11.0
sous-total chaînes nationales privées gratuites,nd,16,35,30,36,28,38,28,33,25,25,25,26,19,26,35,49,58,57,53,49,41,54,78.0,71.0,83.0,66.0,64.0,67.0,67.0,46.0,46.0,42.0,38.0,31.0
sous-total chaînes nationales payantes,nd,59,74,69,63,64,65,48,94,106,105,105,104,93,91,96,104,128,122,111,98,113,95,108.0,101.0,113.0,110.0,105.0,84.0,92.0,124.0,88.0,66.0,68.0,51.0
