Nombre de diffusions des films français à la télévision en première partie de soirée,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,20051,2006,2007,2008,2009,2010,2011,20122.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0,2023.0,2024.0
France Télévisions,nd,117,105,114,111,107,104,100,97,92,88,92,87,80,83,108,104,125,138,147,149,151,140.0,175.0,169.0,164.0,167.0,192.0,168.0,168.0,160.0,101.0,102.0,114.0,138.0
France,nd,57,57,62,62,56,56,49,52,41,41,44,41,43,37,39,35,26,30,32,28,32,32.0,30.0,29.0,25.0,32.0,30.0,30.0,28.0,41.0,40.0,47.0,41.0,46.0
France,nd,60,48,52,49,51,48,51,45,51,47,48,46,37,46,44,31,30,29,32,39,37,32.0,39.0,37.0,35.0,32.0,37.0,22.0,38.0,34.0,30.0,27.0,36.0,36.0
France,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,24,37,69,74,81,81,78,75.0,73.0,70.0,69.0,56.0,75.0,71.0,56.0,49.0,11.0,9.0,13.0,34.0
France,-,-,-,-,0,0,0,0,0,0,0,0,0,0,0,1,1,0,5,2,1,4,1.0,,1.0,2.0,14.0,15.0,16.0,17.0,22.0,20.0,19.0,24.0,22.0
France Ô,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,nd,nd,nd,nd,nd,nd,nd,,33.0,32.0,33.0,33.0,35.0,29.0,29.0,14.0,,,,
Groupe TF,nd,70,59,63,56,62,61,58,56,56,54,53,47,43,43,159,164,167,164,162,151,160,159.0,217.0,206.0,190.0,210.0,219.0,209.0,207.0,210.0,214.0,236.0,239.0,237.0
TF,nd,70,59,63,56,62,61,58,56,56,54,53,47,43,43,40,31,34,31,25,24,24,25.0,27.0,24.0,28.0,27.0,36.0,39.0,36.0,48.0,35.0,31.0,36.0,38.0
TMC,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,72,72,66,72,65,66,72,67.0,61.0,60.0,57.0,71.0,68.0,58.0,54.0,60.0,65.0,74.0,71.0,66.0
TFX,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,47,61,67,61,72,61,64,63.0,63.0,61.0,58.0,54.0,55.0,56.0,60.0,52.0,57.0,70.0,73.0,70.0
TF Séries Films,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4.0,66.0,61.0,47.0,58.0,60.0,56.0,57.0,50.0,57.0,61.0,59.0,63.0
Groupe M,nd,40,39,46,42,43,43,42,42,42,34,35,34,29,28,44,74,77,88,95,136,143,163.0,211.0,205.0,183.0,178.0,169.0,178.0,192.0,203.0,215.0,202.0,213.0,230.0
