unnamed:_,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,20051,2006,2007,2008,2009,2010,2011,20122,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
France Télévisions,nd,67,50,39,59,40,39,44,43,44,43,39,41,44,34,52,62,66,49,56,50,60,52,56.0,62.0,47.0,52.0,63.0,46.0,69.0,75.0,75.0,56.0,49.0,64.0
France,nd,49,32,24,33,24,17,26,26,26,26,22,23,22,21,25,21,18,20,24,27,24,30,23.0,22.0,21.0,22.0,23.0,23.0,25.0,26.0,35.0,38.0,25.0,29.0
France,nd,18,18,15,26,16,22,18,17,18,17,17,18,22,13,17,13,9,7,12,15,20,16,11.0,8.0,12.0,11.0,15.0,11.0,7.0,15.0,17.0,10.0,11.0,13.0
France,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,10,27,39,22,20,8,14,5,15.0,19.0,10.0,8.0,20.0,6.0,17.0,11.0,5.0,5.0,6.0,18.0
France,-,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,1,0.0,3.0,1.0,9.0,1.0,0.0,12.0,17.0,18.0,3.0,7.0,4.0
France Ô,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,nd,nd,nd,nd,nd,nd,nd,0,7.0,10.0,3.0,2.0,4.0,6.0,8.0,6.0,0.0,0.0,0.0,0.0
Groupe TF,nd,21,26,35,38,32,37,29,32,29,39,32,31,31,30,52,51,38,31,43,34,41,46,49.0,47.0,54.0,46.0,50.0,60.0,52.0,48.0,55.0,32.0,36.0,40.0
TF,nd,21,26,35,38,32,37,29,32,29,39,32,31,31,30,26,19,21,20,29,21,25,21,25.0,25.0,31.0,28.0,31.0,38.0,32.0,27.0,33.0,22.0,21.0,26.0
TMC,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,7,9,6,8,8,8,2,5,4.0,6.0,5.0,1.0,7.0,7.0,6.0,8.0,6.0,2.0,5.0,5.0
TFX,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,19,23,11,3,6,5,14,16,9.0,14.0,15.0,9.0,2.0,7.0,7.0,5.0,6.0,4.0,7.0,2.0
