,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,20051,2006,2007,2008,2009,2010,2011,20122,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0,2023.0,2024.0
France Télévisions,0,0,0,0,0,0,45,42,42,48,48,42,38,38,41,34,41,42,38,45,45,38,33,34.0,41.0,26.0,29.0,30.0,20.0,15.0,19.0,19.0,14.0,10.0,13.0
France,22,25,24,19,20,26,16,23,17,32,29,17,21,18,26,20,17,14,15,20,28,16,17,16.0,20.0,6.0,6.0,7.0,12.0,12.0,7.0,16.0,9.0,8.0,4.0
France,26,15,22,18,29,21,27,19,25,16,19,23,17,19,12,8,11,11,10,13,8,11,12,7.0,6.0,7.0,14.0,9.0,7.0,,6.0,3.0,1.0,1.0,4.0
France,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6,13,17,13,12,8,11,4,10.0,10.0,12.0,6.0,12.0,,2.0,1.0,,3.0,,4.0
France,-,-,-,-,0,0,0,0,0,0,0,2,0,1,3,0,0,0,0,0,1,0,,,1.0,,2.0,,,1.0,4.0,,1.0,1.0,1.0
France Ô,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,nd,nd,nd,nd,nd,nd,nd,,1.0,4.0,1.0,1.0,2.0,1.0,,1.0,,,,
Groupe TF,0,0,0,0,0,0,28,27,26,23,29,25,23,21,29,37,51,34,32,34,31,31,39,44.0,33.0,37.0,28.0,37.0,32.0,32.0,29.0,30.0,22.0,22.0,19.0
TF,12,14,17,29,26,23,28,27,26,23,29,25,23,21,29,27,21,22,22,25,17,20,16,20.0,18.0,19.0,17.0,23.0,15.0,17.0,18.0,17.0,15.0,15.0,16.0
TMC,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,8,3,7,6,8,2,3,5.0,2.0,2.0,1.0,5.0,6.0,3.0,5.0,1.0,1.0,2.0,1.0
TFX,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,9,22,9,3,3,6,9,16,8.0,10.0,11.0,4.0,2.0,7.0,7.0,3.0,5.0,3.0,2.0,1.0
TF Séries Films,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4,11.0,3.0,5.0,6.0,7.0,4.0,5.0,3.0,7.0,3.0,3.0,1.0
