,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,20051,2006,2007,2008,2009,2010,2011,20122.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0,2023.0,2024.0
France Télévisions,199,198,189,193,202,249,250,207,252,250,241,190,192,208,249,260,256,273,267,299,272,291,267.0,265.0,273.0,268.0,272.0,268.0,217.0,221.0,315.0,219.0,177.0,159.0,193.0
France,102,101,93,99,110,108,111,94,102,86,76,77,74,86,87,82,81,76,74,108,94,94,84.0,84.0,84.0,78.0,67.0,68.0,56.0,60.0,125.0,75.0,65.0,53.0,66.0
France,97,97,96,94,91,102,108,94,103,114,116,110,111,116,158,151,136,154,138,133,123,135,123.0,110.0,106.0,110.0,109.0,95.0,67.0,69.0,119.0,102.0,79.0,69.0,76.0
France,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,26,39,43,52,59,52,61,64.0,61.0,64.0,66.0,64.0,76.0,58.0,52.0,44.0,14.0,14.0,14.0,34.0
France,-,-,-,-,0,0,0,0,0,0,19,4,7,6,4,1,4,0,4,5,6,7,2.0,1.0,4.0,2.0,16.0,16.0,19.0,36.0,43.0,31.0,20.0,25.0,24.0
France Ô,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,nd,nd,nd,nd,nd,nd,nd,,23.0,21.0,18.0,20.0,24.0,21.0,16.0,7.0,,,,
Groupe TF,113,114,105,95,86,87,90,100,102,102,94,93,91,91,91,191,176,190,183,194,165,161,168.0,213.0,177.0,168.0,152.0,175.0,156.0,161.0,179.0,172.0,168.0,170.0,177.0
TF,113,114,105,95,86,87,90,100,102,102,94,93,91,91,91,83,83,96,82,81,72,60,57.0,62.0,45.0,54.0,51.0,51.0,57.0,48.0,67.0,45.0,44.0,58.0,53.0
TMC,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,68,48,40,53,60,48,63,65.0,62.0,59.0,55.0,56.0,55.0,51.0,47.0,51.0,57.0,56.0,58.0,58.0
