unnamed:_,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,20051,2006,2007,2008,2009,2010,2011,20122,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
France Télévisions,104,118,97,80,109,108,107,89,111,125,95,116,89,100,98,109,131,122,128,133,128,135,118,110.0,130.0,126.0,120.0,130.0,110.0,99.0,105.0,108.0,93.0,75.0,102.0
France,59,80,57,43,52,55,47,45,56,67,60,58,42,45,57,60,58,49,51,63,64,58,51,45.0,55.0,39.0,48.0,46.0,52.0,46.0,49.0,60.0,53.0,35.0,45.0
France,45,38,40,37,57,48,58,40,55,57,35,55,46,52,35,38,47,42,55,48,45,57,50,42.0,45.0,66.0,48.0,52.0,47.0,30.0,31.0,38.0,29.0,27.0,35.0
France,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,11,25,31,21,19,16,16,16,17.0,22.0,18.0,19.0,26.0,6.0,18.0,9.0,4.0,8.0,6.0,18.0
France,-,-,-,-,0,0,0,0,0,0,0,3,1,3,6,0,1,0,1,3,3,4,1,0.0,2.0,0.0,4.0,1.0,1.0,1.0,11.0,7.0,3.0,7.0,4.0
France Ô,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,nd,nd,nd,nd,nd,nd,nd,nd,6.0,6.0,3.0,1.0,5.0,4.0,4.0,5.0,0.0,0.0,0.0,0.0
Groupe TF,37,47,43,56,57,52,50,47,46,45,52,47,43,50,59,83,81,75,62,85,68,64,73,78.0,61.0,70.0,59.0,62.0,71.0,55.0,58.0,60.0,42.0,43.0,43.0
TF,37,47,43,56,57,52,50,47,46,45,52,47,43,50,59,55,46,52,49,62,44,42,42,46.0,37.0,42.0,40.0,40.0,45.0,34.0,35.0,36.0,29.0,28.0,30.0
TMC,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,10,10,6,8,10,12,3,5,6.0,5.0,5.0,1.0,9.0,8.0,6.0,10.0,6.0,5.0,6.0,4.0
TFX,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,18,25,17,5,13,12,19,20,13.0,16.0,17.0,9.0,3.0,8.0,8.0,5.0,7.0,4.0,6.0,3.0
TF Séries Films,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6,13.0,3.0,6.0,9.0,10.0,10.0,7.0,8.0,11.0,4.0,3.0,6.0
Groupe M,55,59,47,44,53,44,53,46,53,46,44,44,35,40,59,29,35,38,35,42,40,48,41,56.0,50.0,55.0,53.0,50.0,58.0,51.0,36.0,44.0,29.0,38.0,36.0
M,55,59,47,44,53,44,53,46,53,46,44,44,35,40,59,29,29,27,30,31,27,36,28,30.0,21.0,25.0,24.0,21.0,24.0,22.0,14.0,28.0,19.0,27.0,22.0
W,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,6,8,2,1,5,3,4,7.0,4.0,8.0,11.0,8.0,9.0,7.0,4.0,5.0,1.0,3.0,2.0
ter,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,5.0,4.0,3.0,3.0,9.0,13.0,11.0,9.0,4.0,6.0,2.0,2.0
Gulli,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,3,3,10,8,9,9,14.0,21.0,19.0,15.0,12.0,12.0,11.0,9.0,7.0,3.0,6.0,10.0
Groupe Canal+,0,0,0,0,0,0,341,333,361,362,387,368,336,321,315,320,361,348,363,318,294,295,300,325.0,308.0,333.0,327.0,270.0,284.0,326.0,324.0,265.0,270.0,272.0,264.0
Canal+,331,353,365,399,376,360,341,333,361,362,387,368,336,321,315,315,353,340,344,309,279,281,290,311.0,290.0,316.0,302.0,259.0,273.0,309.0,303.0,244.0,249.0,255.0,249.0
C,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5,8,8,3,1,2,3,3,11.0,15.0,11.0,23.0,11.0,9.0,11.0,17.0,15.0,16.0,14.0,14.0
CStar,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,16,8,13,11,7,3.0,3.0,6.0,2.0,0.0,2.0,6.0,4.0,6.0,5.0,3.0,1.0
NRJ Group,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,0,18,20,21,13,11,9,9.0,10.0,19.0,12.0,14.0,6.0,7.0,2.0,11.0,16.0,5.0,1.0
NRJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,0,18,20,21,13,11,9,8.0,7.0,10.0,7.0,11.0,4.0,4.0,1.0,1.0,6.0,1.0,1.0
Chérie,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,1.0,4.0,9.0,6.0,4.0,3.0,4.0,1.0,11.0,11.0,4.0,0.0
Altice Media,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,10.0,13.0,22.0,7.0,7.0,18.0,9.0,1.0,0.0,0.0,0.0,0.0
RMC Découverte,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RMC Story,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,9.0,13.0,22.0,7.0,7.0,18.0,9.0,1.0,0.0,0.0,0.0,0.0
autres chaînes,,,,,,,,,,,,,,,,,,,,,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Arte,-,1,32,107,133,130,136,141,152,143,145,147,144,144,122,117,153,154,183,146,182,191,172,200.0,194.0,177.0,185.0,170.0,180.0,139.0,144.0,155.0,129.0,67.0,107.0
LCP-AN,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,2,0,1,1,0,4,2,5.0,4.0,0.0,2.0,0.0,3.0,0.0,3.0,0.0,1.0,1.0,0.0
