…dont nombre de films inédits français diffusés à la télévision,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,20051,2006,2007,2008,2009,2010,2011,20122,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0,2023.0,2024.0
France Télévisions,0,0,0,0,0,0,56,34,44,47,31,46,35,49,45,61,71,68,72,66,58,73,61,65.0,72.0,79.0,82.0,80.0,72.0,83.0,81.0,74.0,73.0,59.0,84.0
France,26,36,24,17,19,27,30,17,27,21,22,26,16,24,27,34,36,33,32,38,31,33,26,25.0,30.0,29.0,41.0,35.0,32.0,34.0,39.0,38.0,42.0,26.0,40.0
France,12,19,9,15,23,19,26,16,17,25,9,20,19,24,15,22,28,28,36,25,25,37,30,32.0,33.0,47.0,31.0,33.0,32.0,30.0,25.0,31.0,24.0,23.0,30.0
France,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5,6,7,3,2,2,2,4,3.0,7.0,3.0,10.0,9.0,4.0,15.0,7.0,2.0,5.0,5.0,12.0
France,-,-,-,-,0,0,0,0,0,0,0,0,0,1,3,0,1,0,1,1,0,1,1,,1.0,,,1.0,1.0,,6.0,3.0,2.0,5.0,2.0
France Ô,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,nd,nd,nd,nd,nd,nd,nd,,5.0,1.0,,,2.0,3.0,4.0,4.0,,,,
Groupe TF,0,0,0,0,0,0,21,17,18,18,19,17,18,21,26,32,20,33,23,34,30,22,21,22.0,20.0,26.0,18.0,21.0,30.0,17.0,14.0,18.0,13.0,13.0,18.0
TF,19,28,21,23,26,26,21,17,18,18,19,17,18,21,26,18,17,26,22,31,23,20,19,20.0,15.0,20.0,17.0,17.0,27.0,15.0,10.0,16.0,12.0,9.0,12.0
TMC,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6,1,0,0,0,2,0,2,1.0,2.0,3.0,,3.0,2.0,1.0,3.0,2.0,1.0,1.0,3.0
TFX,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8,2,7,1,3,5,2,,,3.0,3.0,1.0,,,,,,,3.0,
TF Séries Films,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,1.0,,,,1.0,1.0,1.0,1.0,,,,3.0
Groupe M,0,0,0,0,0,0,12,11,15,14,14,14,14,12,19,11,16,8,9,9,8,19,8,15.0,12.0,16.0,15.0,11.0,14.0,15.0,13.0,19.0,13.0,16.0,15.0
M,13,23,11,0,9,11,12,11,15,14,14,14,14,12,19,11,13,7,9,9,8,16,7,12.0,10.0,11.0,6.0,7.0,8.0,10.0,10.0,14.0,10.0,12.0,14.0
W,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,3,0,0,0,0,0,1,1.0,1.0,2.0,6.0,2.0,,4.0,2.0,3.0,1.0,1.0,
ter,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,1.0,,1.0,1.0,,3.0,1.0,,1.0,1.0,2.0,1.0
Gulli,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,1,0,0,0,3,,1.0,1.0,2.0,2.0,2.0,3.0,,1.0,1.0,1.0,1.0,
Groupe Canal+,0,0,0,0,0,0,135,132,153,144,169,152,147,139,131,134,142,147,159,150,140,131,156,158.0,149.0,162.0,152.0,136.0,144.0,141.0,150.0,95.0,137.0,159.0,173.0
Canal+,128,145,121,155,142,142,135,132,153,144,169,152,147,139,131,132,140,144,158,148,135,130,155,157.0,147.0,158.0,142.0,132.0,140.0,134.0,142.0,84.0,128.0,153.0,164.0
C,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,2,3,1,1,2,0,1,1.0,2.0,2.0,10.0,4.0,4.0,3.0,7.0,9.0,8.0,4.0,8.0
CStar,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,1,3,1,,,,2.0,,,,4.0,1.0,2.0,1.0,2.0,1.0
NRJ Group,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,1,2,1,1,3,3,1.0,4.0,3.0,2.0,2.0,0.0,1.0,0.0,2.0,4.0,0.0,0.0
NRJ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,1,2,1,1,3,3,1.0,3.0,2.0,,2.0,,,,,1.0,,
Chérie,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,1.0,1.0,2.0,,,1.0,,2.0,3.0,,
Altice Media,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,1.0,4.0,3.0,3.0,4.0,2.0,1.0,0.0,,,,
RMC Découverte,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,
RMC Story,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,1.0,4.0,3.0,3.0,4.0,2.0,1.0,,,,,
