unnamed:_0,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
films ,8.4,8.0,7.3,7.0,6.8,6.3,6.4,6.5,5.6,5.4,5.1,5.2,4.7,5.5,5.3,5.5,5.6,5.5,5.4,5.5,5.0,5.0,7.0,6.0,5.0,6.0,5.5
fictions TV,25.9,26.5,25.2,24.8,23.6,23.2,22.1,24.6,25.3,25.2,25.1,25.4,22.7,26.8,25.7,25.0,24.6,24.9,24.4,24.4,23.0,23.0,22.0,22.0,21.0,21.0,19.8
jeux,8.2,7.5,7.1,8.5,9.6,10.5,10.6,9.7,9.1,9.9,10.8,11.9,12.6,9.8,9.8,10.1,9.6,9.9,9.6,10.0,9.0,9.0,10.0,9.0,9.2,10.0,10.2
variétés,5.1,4.6,5.1,4.3,4.4,4.3,5.2,4.5,5.0,5.1,4.0,4.0,4.0,4.5,4.3,4.5,4.1,3.9,3.5,3.5,3.0,3.0,3.0,3.0,2.5,2.5,2.1
journaux télévisés,14.4,14.0,14.2,15.3,14.7,15.6,15.3,14.9,14.3,14.0,14.1,13.7,13.4,11.1,10.9,11.1,10.5,10.6,9.8,9.5,11.0,11.0,14.0,13.0,13.0,12.0,11.6
magazines et documentaires,14.4,16.7,18.2,20.4,19.7,19.8,19.1,19.6,18.6,19.8,20.2,20.9,21.6,22.2,23.7,24.6,24.8,25.5,26.4,27.3,27.0,27.0,27.0,27.0,29.0,30.0,28.9
sport,6.8,5.4,6.5,4.8,5.6,4.6,5.2,4.1,6.2,4.5,5.3,4.1,6.0,3.8,4.8,2.9,4.3,3.1,4.3,2.9,4.0,4.0,2.0,4.0,5.0,4.0,6.8
émissions jeunesse,3.0,3.2,3.2,2.7,3.0,3.2,3.2,3.2,3.0,3.1,2.6,2.5,2.1,3.7,3.4,3.3,3.1,3.2,3.2,3.1,3.0,3.0,3.0,2.0,1.5,1.0,1.5
publicité,9.5,9.7,9.1,8.2,8.5,8.6,8.7,8.7,8.7,8.8,8.7,8.6,9.4,9.2,8.9,9.6,10.2,10.3,10.3,10.6,11.0,11.0,9.0,11.0,10.8,10.8,10.6
autres,4.3,4.3,4.1,4.1,4.0,4.0,4.1,4.2,4.2,4.2,4.1,3.7,3.5,3.4,3.2,3.4,3.2,3.2,3.1,3.2,3.0,3.0,3.0,3.0,3.1,3.1,2.9
total,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,99.99999999999999,99.99999999999999,100.0,100.0,100.0,100.00000000000001,100.0,100.1,99.99999999999999,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
