entity,type,value,valueOnHours,unit,legend,percent,date,chartDatasRow,channel
all,Bruit,0.2125,,H,12 minutes,1%,2025-10-01,[{'media': 'TVCI'}],BFT
all,Silence,0.41888888888888887,,H,25 minutes,2%,2025-10-01,[{'media': 'TVCI'}],BFT
all,Musique,1.4252777777777779,,H,1 heure 25 minutes,8%,2025-10-01,[{'media': 'TVCI'}],BFT
all,Femme,5.546388888888889,,H,5 heures 32 minutes,31%,2025-10-01,[{'media': 'TVCI'}],BFT
all,Homme,10.401111111111112,,H,10 heures 24 minutes,58%,2025-10-01,[{'media': 'TVCI'}],BFT
all,Bruit,0.15333333333333332,,H,9 minutes,1%,2025-10-02,[{'media': 'TVCI'}],BFT
all,Silence,0.4025,,H,24 minutes,2%,2025-10-02,[{'media': 'TVCI'}],BFT
all,Musique,1.1144444444444443,,H,1 heure 6 minutes,6%,2025-10-02,[{'media': 'TVCI'}],BFT
all,Femme,5.601944444444444,,H,5 heures 36 minutes,31%,2025-10-02,[{'media': 'TVCI'}],BFT
all,Homme,10.731388888888889,,H,10 heures 43 minutes,60%,2025-10-02,[{'media': 'TVCI'}],BFT
all,Bruit,0.14083333333333334,,H,8 minutes,1%,2025-10-03,[{'media': 'TVCI'}],BFT
all,Silence,0.4897222222222222,,H,29 minutes,3%,2025-10-03,[{'media': 'TVCI'}],BFT
all,Musique,1.2291666666666667,,H,1 heure 13 minutes,7%,2025-10-03,[{'media': 'TVCI'}],BFT
all,Femme,5.612222222222222,,H,5 heures 36 minutes,31%,2025-10-03,[{'media': 'TVCI'}],BFT
all,Homme,10.531944444444445,,H,10 heures 31 minutes,58%,2025-10-03,[{'media': 'TVCI'}],BFT
all,Bruit,0.20055555555555554,,H,12 minutes,1%,2025-10-04,[{'media': 'TVCI'}],BFT
all,Silence,0.4483333333333333,,H,26 minutes,2%,2025-10-04,[{'media': 'TVCI'}],BFT
all,Musique,1.4436111111111112,,H,1 heure 26 minutes,8%,2025-10-04,[{'media': 'TVCI'}],BFT
all,Femme,6.677777777777778,,H,6 heures 40 minutes,37%,2025-10-04,[{'media': 'TVCI'}],BFT
all,Homme,9.233333333333333,,H,9 heures 14 minutes,51%,2025-10-04,[{'media': 'TVCI'}],BFT
all,Bruit,0.1511111111111111,,H,9 minutes,1%,2025-10-05,[{'media': 'TVCI'}],BFT
all,Silence,0.49666666666666665,,H,29 minutes,3%,2025-10-05,[{'media': 'TVCI'}],BFT
all,Musique,1.1858333333333333,,H,1 heure 11 minutes,7%,2025-10-05,[{'media': 'TVCI'}],BFT
all,Femme,7.005,,H,7 heures 0 minute,39%,2025-10-05,[{'media': 'TVCI'}],BFT
all,Homme,9.165555555555555,,H,9 heures 9 minutes,51%,2025-10-05,[{'media': 'TVCI'}],BFT
all,Bruit,0.115,,H,6 minutes,1%,2025-10-06,[{'media': 'TVCI'}],BFT
all,Silence,0.44055555555555553,,H,26 minutes,2%,2025-10-06,[{'media': 'TVCI'}],BFT
all,Musique,0.7836111111111111,,H,47 minutes,4%,2025-10-06,[{'media': 'TVCI'}],BFT
all,Femme,5.660555555555556,,H,5 heures 39 minutes,31%,2025-10-06,[{'media': 'TVCI'}],BFT
all,Homme,11.004444444444445,,H,11 heures 0 minute,61%,2025-10-06,[{'media': 'TVCI'}],BFT
all,Bruit,0.2063888888888889,,H,12 minutes,1%,2025-10-07,[{'media': 'TVCI'}],BFT
all,Silence,0.5205555555555555,,H,31 minutes,3%,2025-10-07,[{'media': 'TVCI'}],BFT
all,Musique,1.2597222222222222,,H,1 heure 15 minutes,7%,2025-10-07,[{'media': 'TVCI'}],BFT
all,Femme,5.454722222222222,,H,5 heures 27 minutes,30%,2025-10-07,[{'media': 'TVCI'}],BFT
all,Homme,10.562777777777777,,H,10 heures 33 minutes,59%,2025-10-07,[{'media': 'TVCI'}],BFT
all,Bruit,0.14722222222222223,,H,8 minutes,1%,2025-10-08,[{'media': 'TVCI'}],BFT
all,Silence,0.46194444444444444,,H,27 minutes,3%,2025-10-08,[{'media': 'TVCI'}],BFT
